FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     108.000us         0.01%     108.000us       2.571us            42  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.544ms         0.49%       4.544ms       4.416us          1029  
void implicit_convolve_sgemm<float, float, 128, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us       7.111ms         0.77%       7.111ms     474.067us            15  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float,...         0.00%       0.000us         0.00%       0.000us       0.000us      26.552ms         2.87%      26.552ms     166.994us           159  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.076ms         2.60%      24.076ms     116.309us           207  
void at::native::(anonymous namespace)::max_pool_for...         0.00%       0.000us         0.00%       0.000us       0.000us       1.608ms         0.17%       1.608ms     268.000us             6  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us     694.000us         0.08%     694.000us     231.333us             3  
void cudnn::winograd::generateWinogradTilesKernel<0,...         0.00%       0.000us         0.00%       0.000us       0.000us     243.000us         0.03%     243.000us       4.765us            51  
ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile14...         0.00%       0.000us         0.00%       0.000us       0.000us     105.051ms        11.36%     105.051ms       3.502ms            30  
void nchwToNhwcKernel<float, float, float, true, fal...         0.00%       0.000us         0.00%       0.000us       0.000us      59.258ms         6.41%      59.258ms      94.510us           627  
void xmma_new::gemm::kernel<xmma_new::implicit_gemm:...         0.00%       0.000us         0.00%       0.000us       0.000us      28.318ms         3.06%      28.318ms     377.573us            75  
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us      51.000us         0.01%      51.000us       1.308us            39  
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       4.335ms         0.47%       4.335ms     180.625us            24  
void precomputed_convolve_sgemm<float, 512, 6, 7, 4,...         0.00%       0.000us         0.00%       0.000us       0.000us      10.373ms         1.12%      10.373ms     691.533us            15  
void xmma_new::gemm::kernel<xmma_new::implicit_gemm:...         0.00%       0.000us         0.00%       0.000us       0.000us      26.262ms         2.84%      26.262ms     795.818us            33  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.867ms         0.31%       2.867ms       2.314us          1239  
void xmma_new::gemm::kernel<xmma_new::implicit_gemm:...         0.00%       0.000us         0.00%       0.000us       0.000us       4.770ms         0.52%       4.770ms     530.000us             9  
void nhwcToNchwKernel<float, float, float, true, fal...         0.00%       0.000us         0.00%       0.000us       0.000us       9.846ms         1.06%       9.846ms      88.703us           111  
void cutlass::Kernel<cutlass_tensorop_s1688fprop_pre...         0.00%       0.000us         0.00%       0.000us       0.000us       2.755ms         0.30%       2.755ms     229.583us            12  
void cutlass::Kernel<cutlass_tensorop_s1688fprop_pre...         0.00%       0.000us         0.00%       0.000us       0.000us       4.057ms         0.44%       4.057ms     270.467us            15  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       8.198ms         0.89%       8.198ms      16.106us           509  
void cutlass::Kernel<cutlass_tensorop_s1688fprop_pre...         0.00%       0.000us         0.00%       0.000us       0.000us     436.000us         0.05%     436.000us     145.333us             3  
void at::native::(anonymous namespace)::upsample_nea...         0.00%       0.000us         0.00%       0.000us       0.000us       1.780ms         0.19%       1.780ms     197.778us             9  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     145.000us         0.02%     145.000us       1.098us           132  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     231.000us         0.02%     231.000us       2.139us           108  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.311ms         0.14%       1.311ms       3.937us           333  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     596.000us         0.06%     596.000us       3.679us           162  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     237.000us         0.03%     237.000us       0.988us           240  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     569.000us         0.06%     569.000us       1.897us           300  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     176.000us         0.02%     176.000us       1.364us           129  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      44.000us         0.00%      44.000us       3.667us            12  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      17.859ms         1.93%      17.859ms      10.371us          1722  
void at::cuda::detail::cub::DeviceReduceKernel<at::c...         0.00%       0.000us         0.00%       0.000us       0.000us     519.000us         0.06%     519.000us       2.093us           248  
void at::cuda::detail::cub::DeviceReduceSingleTileKe...         0.00%       0.000us         0.00%       0.000us       0.000us     344.000us         0.04%     344.000us       1.387us           248  
void at::cuda::detail::cub::DeviceCompactInitKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     327.000us         0.04%     327.000us       0.913us           358  
void at::cuda::detail::cub::DeviceSelectSweepKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.366ms         0.15%       1.366ms       3.816us           358  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.662ms         0.18%       1.662ms       6.133us           271  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     545.000us         0.06%     545.000us       3.364us           162  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     614.000us         0.07%     614.000us      12.792us            48  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     439.000us         0.05%     439.000us      18.292us            24  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     541.000us         0.06%     541.000us       5.635us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     412.000us         0.04%     412.000us       3.433us           120  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     338.000us         0.04%     338.000us       1.225us           276  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     390.000us         0.04%     390.000us      11.818us            33  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      94.000us         0.01%      94.000us       1.270us            74  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.00%      30.000us       1.250us            24  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     388.000us         0.04%     388.000us       2.282us           170  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     306.000us         0.03%     306.000us       2.217us           138  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      55.000us         0.01%      55.000us       1.038us            53  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     235.000us         0.03%     235.000us       2.975us            79  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      43.000us         0.00%      43.000us       1.024us            42  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      34.000us         0.00%      34.000us       0.944us            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.000us         0.01%      59.000us       1.639us            36  
void at::cuda::detail::cub::DeviceRadixSortSingleTil...         0.00%       0.000us         0.00%       0.000us       0.000us     882.000us         0.10%     882.000us      18.375us            48  
void at::cuda::detail::cub::DeviceCompactInitKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      41.000us         0.00%      41.000us       0.854us            48  
void at::cuda::detail::cub::DeviceSelectSweepKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      75.000us         0.01%      75.000us       1.562us            48  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      69.000us         0.01%      69.000us       1.769us            39  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.000us         0.01%      47.000us       1.958us            24  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.306ms         0.36%       3.306ms       4.516us           732  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      76.000us         0.01%      76.000us       1.206us            63  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      50.000us         0.01%      50.000us       2.083us            24  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.705ms         0.18%       1.705ms      16.238us           105  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     120.000us         0.01%     120.000us       8.571us            14  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.000us         0.00%      21.000us       1.105us            19  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      61.000us         0.01%      61.000us      20.333us             3  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     344.000us         0.04%     344.000us      38.222us             9  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      69.000us         0.01%      69.000us       4.600us            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      46.000us         0.00%      46.000us       2.556us            18  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.000us         0.00%      45.000us       3.000us            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      43.000us         0.00%      43.000us       2.389us            18  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     100.000us         0.01%     100.000us       2.222us            45  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      61.000us         0.01%      61.000us       1.452us            42  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.699ms         0.51%       4.699ms      48.948us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     104.000us         0.01%     104.000us       5.778us            18  
void at::cuda::detail::cub::DeviceReduceSingleTileKe...         0.00%       0.000us         0.00%       0.000us       0.000us     207.000us         0.02%     207.000us       1.882us           110  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     109.000us         0.01%     109.000us       1.453us            75  
void at::cuda::detail::cub::DeviceSegmentedRadixSort...         0.00%       0.000us         0.00%       0.000us       0.000us      22.449ms         2.43%      22.449ms      93.537us           240  
void at::cuda::detail::cub::DeviceSegmentedRadixSort...         0.00%       0.000us         0.00%       0.000us       0.000us       7.481ms         0.81%       7.481ms      62.342us           120  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      66.000us         0.01%      66.000us       1.833us            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.000us         0.00%      26.000us       0.963us            27  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      53.000us         0.01%      53.000us       4.417us            12  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      63.000us         0.01%      63.000us       5.250us            12  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      26.000us         0.00%      26.000us       2.167us            12  
nms_cuda(int, float, int, float const*, unsigned lon...         0.00%       0.000us         0.00%       0.000us       0.000us     544.000us         0.06%     544.000us      45.333us            12  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      52.000us         0.01%      52.000us       2.167us            24  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      21.000us         0.00%      21.000us       1.750us            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.00%       3.000us       1.000us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.00%       3.000us       1.000us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.00%       3.000us       1.000us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      13.000us         0.00%      13.000us       2.167us             6  
void roi_align_forward_cuda_kernel<float>(int, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.423ms         0.59%       5.423ms     451.917us            12  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_2...         0.00%       0.000us         0.00%       0.000us       0.000us       5.571ms         0.60%       5.571ms     928.500us             6  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_1...         0.00%       0.000us         0.00%       0.000us       0.000us      79.000us         0.01%      79.000us      26.333us             3  
void splitKreduce_kernel<float, float, float, float>...         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.00%      18.000us       3.000us             6  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_1...         0.00%       0.000us         0.00%       0.000us       0.000us     225.000us         0.02%     225.000us      75.000us             3  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.00%       9.000us       3.000us             3  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.00%       9.000us       3.000us             3  
void ClassNLLCriterion_updateOutput_no_reduce_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       2.000us             3  
void at::native::(anonymous namespace)::gatherTopK<f...         0.00%       0.000us         0.00%       0.000us       0.000us      35.000us         0.00%      35.000us      11.667us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.00%       3.000us       1.000us             3  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      81.000us         0.01%      81.000us       2.077us            39  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.314ms         5.76%      53.314ms      31.905us          1671  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     105.000us         0.01%     105.000us       2.917us            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     114.000us         0.01%     114.000us       6.333us            18  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.000us         0.00%      10.000us       1.667us             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.00%       4.000us       1.333us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.00%       5.000us       1.667us             3  
void thrust::cuda_cub::core::_kernel_agent<thrust::c...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.00%       3.000us       1.000us             3  
void thrust::cuda_cub::core::_kernel_agent<thrust::c...         0.00%       0.000us         0.00%       0.000us       0.000us      35.000us         0.00%      35.000us      11.667us             3  
void (anonymous namespace)::indexing_backward_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.00%       4.000us       1.333us             3  
void ClassNLLCriterion_updateGradInput_no_reduce_ker...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       2.000us             3  
void (anonymous namespace)::softmax_warp_backward<fl...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.00%       9.000us       3.000us             3  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_1...         0.00%       0.000us         0.00%       0.000us       0.000us     165.000us         0.02%     165.000us      55.000us             3  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_6...         0.00%       0.000us         0.00%       0.000us       0.000us     132.000us         0.01%     132.000us      44.000us             3  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     365.000us         0.04%     365.000us      15.208us            24  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_1...         0.00%       0.000us         0.00%       0.000us       0.000us      78.000us         0.01%      78.000us      26.000us             3  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_1...         0.00%       0.000us         0.00%       0.000us       0.000us      86.000us         0.01%      86.000us      28.667us             3  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     599.000us         0.06%     599.000us       6.656us            90  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.820ms         2.25%      20.820ms     150.870us           138  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_2...         0.00%       0.000us         0.00%       0.000us       0.000us       4.775ms         0.52%       4.775ms     795.833us             6  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_1...         0.00%       0.000us         0.00%       0.000us       0.000us     429.000us         0.05%     429.000us     143.000us             3  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_1...         0.00%       0.000us         0.00%       0.000us       0.000us       4.206ms         0.45%       4.206ms       1.402ms             3  
void roi_align_backward_cuda_kernel<float>(int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      52.762ms         5.70%      52.762ms       4.397ms            12  
void cudnn::ops::scalePackedTensor_kernel<float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us     278.000us         0.03%     278.000us      18.533us            15  
void cudnn::detail::dgrad_alg1_engine<float, 128, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         0.00%      19.000us       6.333us             3  
void wgrad2d_grouped_direct_kernel<float, float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      60.000us         0.01%      60.000us      10.000us             6  
void dgrad2d_grouped_direct_kernel<float, float, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.00%      20.000us       6.667us             3  
void cutlass::Kernel<cutlass_tensorop_s1688dgrad_pre...         0.00%       0.000us         0.00%       0.000us       0.000us     140.000us         0.02%     140.000us      46.667us             3  
void cutlass::Kernel<cutlass_tensorop_s1688wgrad_ana...         0.00%       0.000us         0.00%       0.000us       0.000us     140.000us         0.02%     140.000us      46.667us             3  
cask_cudnn::computeOffsetsKernel(cask_cudnn::Compute...         0.00%       0.000us         0.00%       0.000us       0.000us     161.000us         0.02%     161.000us       1.917us            84  
cask_cudnn::computeBOffsetsKernel(cask_cudnn::Comput...         0.00%       0.000us         0.00%       0.000us       0.000us      88.000us         0.01%      88.000us       1.048us            84  
           ampere_scudnn_128x64_stridedB_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      17.647ms         1.91%      17.647ms     367.646us            48  
_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConv...         0.00%       0.000us         0.00%       0.000us       0.000us     114.000us         0.01%     114.000us      19.000us             6  
void cutlass::Kernel<cutlass::reduction::kernel::Red...         0.00%       0.000us         0.00%       0.000us       0.000us       1.682ms         0.18%       1.682ms      26.698us            63  
void cudnn::cnn::wgrad_alg0_engine<float, 128, 5, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us     296.000us         0.03%     296.000us      49.333us             6  
void xmma_new::gemm::kernel<xmma_new::implicit_gemm:...         0.00%       0.000us         0.00%       0.000us       0.000us       4.467ms         0.48%       4.467ms     372.250us            12  
void cudnn::winograd_nonfused::winogradWgradData4x4<...         0.00%       0.000us         0.00%       0.000us       0.000us       4.411ms         0.48%       4.411ms      91.896us            48  
void cudnn::winograd_nonfused::winogradWgradDelta4x4...         0.00%       0.000us         0.00%       0.000us       0.000us       4.428ms         0.48%       4.428ms      92.250us            48  
                                ampere_sgemm_128x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      14.867ms         1.61%      14.867ms     309.729us            48  
void cudnn::winograd_nonfused::winogradWgradOutput4x...         0.00%       0.000us         0.00%       0.000us       0.000us       1.762ms         0.19%       1.762ms      36.708us            48  
              ampere_scudnn_128x64_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     145.000us         0.02%     145.000us      24.167us             6  
ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile24...         0.00%       0.000us         0.00%       0.000us       0.000us      13.976ms         1.51%      13.976ms     665.524us            21  
          ampere_scudnn_128x128_stridedB_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us       8.902ms         0.96%       8.902ms     329.704us            27  
void cudnn::cnn::wgrad_alg0_engine<float, 512, 6, 5,...         0.00%       0.000us         0.00%       0.000us       0.000us       1.611ms         0.17%       1.611ms     268.500us             6  
             ampere_scudnn_128x128_stridedB_small_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     244.000us         0.03%     244.000us      81.333us             3  
void xmma_ext::implicit_gemm::strided_dgrad_indexed:...         0.00%       0.000us         0.00%       0.000us       0.000us      44.000us         0.00%      44.000us       1.833us            24  
void xmma_ext::implicit_gemm::strided_dgrad_indexed:...         0.00%       0.000us         0.00%       0.000us       0.000us      51.000us         0.01%      51.000us       2.125us            24  
void xmma_ext::implicit_gemm::strided_dgrad_indexed:...         0.00%       0.000us         0.00%       0.000us       0.000us      47.000us         0.01%      47.000us       1.958us            24  
void xmma_ext::implicit_gemm::strided_dgrad_indexed:...         0.00%       0.000us         0.00%       0.000us       0.000us     532.000us         0.06%     532.000us      22.167us            24  
void xmma_ext::implicit_gemm::strided_dgrad_indexed:...         0.00%       0.000us         0.00%       0.000us       0.000us      22.237ms         2.40%      22.237ms     926.542us            24  
_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConv...         0.00%       0.000us         0.00%       0.000us       0.000us      74.668ms         8.07%      74.668ms       4.148ms            18  
void tensorTransformGeneric<float, float, float, tru...         0.00%       0.000us         0.00%       0.000us       0.000us      98.000us         0.01%      98.000us      32.667us             3  
void nchwAddPaddingKernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.00%       5.000us       1.667us             3  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us      55.000us         0.01%      55.000us      18.333us             3  
void at::native::(anonymous namespace)::upsample_nea...         0.00%       0.000us         0.00%       0.000us       0.000us       1.463ms         0.16%       1.463ms     162.556us             9  
_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConv...         0.00%       0.000us         0.00%       0.000us       0.000us       9.619ms         1.04%       9.619ms     246.641us            39  
void cutlass::Kernel<cutlass_tensorop_s1688dgrad_pre...         0.00%       0.000us         0.00%       0.000us       0.000us       6.370ms         0.69%       6.370ms     424.667us            15  
void cudnn::ops::convertTensor_kernel<float, float, ...         0.00%       0.000us         0.00%       0.000us       0.000us       6.094ms         0.66%       6.094ms     203.133us            30  
void xmma_new::gemm::kernel<xmma_new::implicit_gemm:...         0.00%       0.000us         0.00%       0.000us       0.000us       4.678ms         0.51%       4.678ms     311.867us            15  
void xmma_new::gemm::split_k_kernel<xmma_new::implic...         0.00%       0.000us         0.00%       0.000us       0.000us     125.000us         0.01%     125.000us       8.333us            15  
void at::native::batch_norm_backward_kernel<float, f...         0.00%       0.000us         0.00%       0.000us       0.000us      27.141ms         2.93%      27.141ms     215.405us           126  
void cudnn::detail::dgrad_engine<float, 128, 6, 7, 3...         0.00%       0.000us         0.00%       0.000us       0.000us       8.385ms         0.91%       8.385ms     698.750us            12  
void xmma_new::gemm::kernel<xmma_new::implicit_gemm:...         0.00%       0.000us         0.00%       0.000us       0.000us       5.335ms         0.58%       5.335ms     296.389us            18  
void cutlass::Kernel<cutlass_tensorop_s1688wgrad_ana...         0.00%       0.000us         0.00%       0.000us       0.000us       6.638ms         0.72%       6.638ms     553.167us            12  
void xmma_new::gemm::kernel<xmma_new::implicit_gemm:...         0.00%       0.000us         0.00%       0.000us       0.000us       6.369ms         0.69%       6.369ms       2.123ms             3  
void cutlass::Kernel<cutlass_tensorop_s1688wgrad_ana...         0.00%       0.000us         0.00%       0.000us       0.000us       6.808ms         0.74%       6.808ms     567.333us            12  
void cudnn::cnn::wgrad_alg0_engine<float, 128, 6, 8,...         0.00%       0.000us         0.00%       0.000us       0.000us       3.099ms         0.34%       3.099ms       1.033ms             3  
void xmma_new::gemm::kernel<xmma_new::implicit_gemm:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.523ms         0.16%       1.523ms     507.667us             3  
void xmma_new::gemm::split_k_kernel<xmma_new::implic...         0.00%       0.000us         0.00%       0.000us       0.000us      17.000us         0.00%      17.000us       5.667us             3  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.00%       2.000us       1.000us             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.00%       2.000us       1.000us             2  
void at::native::reduce_kernel<256, 2, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         0.00%      19.000us      19.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.166s
Self CUDA time total: 924.895ms
