FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::cat         0.28%       8.768ms         0.69%      21.712ms      73.850us       0.000us         0.00%       1.353ms       4.602us           294  
                                        aten::unsqueeze         0.66%      20.942ms         0.69%      21.690ms      32.277us       0.000us         0.00%       0.000us       0.000us           672  
                                  cudaFuncGetAttributes         0.63%      20.018ms         0.63%      20.018ms       2.553us       0.000us         0.00%       0.000us       0.000us          7840  
                                              aten::sum         0.53%      16.815ms         0.62%      19.632ms     148.727us       5.105ms         0.55%       5.112ms      38.727us           132  
                                              aten::sub         0.44%      14.081ms         0.62%      19.604ms      46.345us       1.603ms         0.17%       1.603ms       3.790us           423  
                                            aten::zero_         0.13%       4.247ms         0.55%      17.509ms      22.107us       0.000us         0.00%       3.232ms       4.081us           792  
                                               aten::ge         0.14%       4.474ms         0.47%      14.867ms      48.585us     204.000us         0.02%     408.000us       1.333us           306  
                     Optimizer.zero_grad#Adam.zero_grad         0.13%       4.048ms         0.45%      14.232ms       4.744ms       0.000us         0.00%     889.000us     296.333us             3  
                                         aten::addcdiv_         0.07%       2.178ms         0.44%      13.977ms      29.865us       0.000us         0.00%       2.693ms       5.754us           468  
                                          aten::permute         0.43%      13.483ms         0.44%      13.861ms      77.006us       0.000us         0.00%       0.000us       0.000us           180  
                                             aten::mean         0.38%      12.176ms         0.43%      13.456ms     280.333us      81.000us         0.01%      81.000us       1.688us            48  
                                         aten::addcmul_         0.07%       2.069ms         0.41%      13.136ms      28.068us       0.000us         0.00%       1.751ms       3.741us           468  
                                             aten::sqrt         0.25%       7.943ms         0.41%      13.086ms      27.783us       1.402ms         0.15%       1.402ms       2.977us           471  
                                             aten::_cat         0.18%       5.559ms         0.41%      12.944ms      44.027us       1.353ms         0.15%       1.353ms       4.602us           294  
                                           aten::repeat         0.09%       2.720ms         0.40%      12.705ms      61.377us       0.000us         0.00%     422.000us       2.039us           207  
                        torch::autograd::AccumulateGrad         0.06%       2.039ms         0.39%      12.463ms      26.630us       0.000us         0.00%       2.041ms       4.361us           468  
                                          aten::addcdiv         0.20%       6.270ms         0.37%      11.799ms      25.212us       2.693ms         0.29%       2.693ms       5.754us           468  
                                     aten::_unsafe_view         0.35%      11.180ms         0.37%      11.699ms      55.710us       0.000us         0.00%       0.000us       0.000us           210  
                                       aten::as_strided         0.36%      11.373ms         0.36%      11.425ms       1.363us       0.000us         0.00%       0.000us       0.000us          8384  
                 aten::binary_cross_entropy_with_logits         0.22%       6.885ms         0.36%      11.423ms     761.533us       0.000us         0.00%     410.000us      27.333us            15  
                                          aten::addcmul         0.19%       5.923ms         0.35%      11.067ms      23.647us       1.751ms         0.19%       1.751ms       3.741us           468  
                                               aten::eq         0.10%       3.185ms         0.35%      11.032ms      45.587us     307.000us         0.03%     614.000us       2.537us           242  
                                           aten::linear         0.00%      92.000us         0.34%      10.649ms     887.417us       0.000us         0.00%       5.978ms     498.167us            12  
                                            aten::zeros         0.05%       1.441ms         0.33%      10.345ms      34.832us       0.000us         0.00%       2.229ms       7.505us           297  
                                    aten::scalar_tensor         0.05%       1.653ms         0.32%      10.216ms      29.612us       0.000us         0.00%     288.000us       0.835us           345  
                                      aten::bitwise_and         0.08%       2.576ms         0.32%      10.209ms      39.570us     176.000us         0.02%     352.000us       1.364us           258  
                                             aten::sort         0.10%       3.228ms         0.30%       9.540ms     159.000us      29.930ms         3.24%      30.005ms     500.083us            60  
                                        cudaMemsetAsync         0.30%       9.480ms         0.30%       9.480ms       7.651us       0.000us         0.00%       0.000us       0.000us          1239  
                                       aten::empty_like         0.08%       2.621ms         0.30%       9.419ms      10.571us       0.000us         0.00%       0.000us       0.000us           891  
                                           aten::arange         0.06%       2.015ms         0.29%       9.228ms      34.955us     145.000us         0.02%     290.000us       1.098us           264  
                                              aten::abs         0.23%       7.361ms         0.27%       8.656ms     240.444us     104.000us         0.01%     208.000us       5.778us            36  
                                            aten::slice         0.19%       6.139ms         0.27%       8.575ms       4.590us       0.000us         0.00%       0.000us       0.000us          1868  
                                 CudnnBatchNormBackward         0.04%       1.252ms         0.27%       8.546ms      67.825us       0.000us         0.00%      27.141ms     215.405us           126  
                                         aten::new_full         0.01%     466.000us         0.25%       8.051ms      41.287us       0.000us         0.00%     356.000us       1.826us           195  
                                                aten::t         0.17%       5.478ms         0.24%       7.599ms      18.050us       0.000us         0.00%       0.000us       0.000us           421  
                                             aten::full         0.03%       1.073ms         0.24%       7.585ms      38.897us       0.000us         0.00%     356.000us       1.826us           195  
                                         aten::_unique2         0.10%       3.039ms         0.23%       7.404ms     154.250us     998.000us         0.11%       1.046ms      21.792us            48  
                       aten::native_batch_norm_backward         0.07%       2.258ms         0.23%       7.294ms      57.889us      27.141ms         2.93%      27.141ms     215.405us           126  
                                       aten::clamp_min_         0.03%     955.000us         0.23%       7.248ms      39.607us       0.000us         0.00%      23.712ms     129.574us           183  
